fpr	tpr	threshold
0.0	0.00657894736842	1.0
0.0	0.0131578947368	0.947368421
3.97140587768e-05	0.0131578947368	0.941176471
0.00011914217633	0.0131578947368	0.933333333
0.00011914217633	0.0197368421053	0.923076923
0.000158856235107	0.0197368421053	0.868778280851
0.000198570293884	0.0197368421053	0.857142857
0.000238284352661	0.0197368421053	0.816666666375
0.000277998411438	0.0197368421053	0.8
0.000277998411438	0.0263157894737	0.7941176469
0.000317712470214	0.0263157894737	0.789798437058
0.000317712470214	0.0328947368421	0.785714286
0.000357426528991	0.0328947368421	0.781954887432
0.000397140587768	0.0328947368421	0.779220779013
0.000397140587768	0.0394736842105	0.75
0.000436854646545	0.0394736842105	0.748663101112
0.000436854646545	0.0526315789474	0.72
0.000476568705322	0.0526315789474	0.71794871749
0.000516282764098	0.0526315789474	0.710937500273
0.000555996822875	0.0526315789474	0.709090909347
0.000675138999206	0.0526315789474	0.705882353
0.000714853057983	0.0526315789474	0.704166666938
0.000754567116759	0.0526315789474	0.701871657543
0.000794281175536	0.0526315789474	0.696428571634
0.000833995234313	0.0526315789474	0.685714285974
0.00087370929309	0.0526315789474	0.68181818175
0.000913423351867	0.0526315789474	0.680952381462
0.000953137410643	0.0526315789474	0.675324675404
0.000953137410643	0.0592105263158	0.668016194032
0.000953137410643	0.0657894736842	0.662207357475
0.00099285146942	0.0657894736842	0.659340659022
0.00099285146942	0.0723684210526	0.656632653603
0.0010325655282	0.0723684210526	0.65625
0.00107227958697	0.0789473684211	0.65
0.00111199364575	0.0789473684211	0.646153845636
0.00115170770453	0.0789473684211	0.643809524017
0.0011914217633	0.0789473684211	0.6428571431
0.00123113582208	0.0789473684211	0.641666666438
0.00127084988086	0.0789473684211	0.638814814068
0.00131056393963	0.0789473684211	0.631578947649
0.00135027799841	0.0789473684211	0.630303030309
0.00142970611597	0.0789473684211	0.6285714288
0.00146942017474	0.0789473684211	0.628205127804
0.00150913423352	0.0789473684211	0.622222222311
0.00150913423352	0.0855263157895	0.62173913035
0.00150913423352	0.0921052631579	0.619047619
0.0015488482923	0.0921052631579	0.612857143316
0.0015488482923	0.0986842105263	0.612244897612
0.0015488482923	0.105263157895	0.61217391296
0.00158856235107	0.105263157895	0.611764706334
0.00162827640985	0.105263157895	0.611111111
0.00166799046863	0.105263157895	0.610909090848
0.0017077045274	0.105263157895	0.610859728503
0.00174741858618	0.105263157895	0.608643457282
0.00178713264496	0.105263157895	0.605769230284
0.00178713264496	0.111842105263	0.601482946383
0.00182684670373	0.111842105263	0.600840336018
0.00186656076251	0.111842105263	0.6
0.00190627482129	0.111842105263	0.59733333312
0.00190627482129	0.118421052632	0.593939393388
0.00194598888006	0.118421052632	0.593406593044
0.00198570293884	0.118421052632	0.591253644762
0.00202541699762	0.125	0.590909090844
0.00206513105639	0.125	0.5892857145
0.00210484511517	0.125	0.586666666786
0.00214455917395	0.125	0.585281385557
0.00218427323272	0.125	0.58500000027
0.0022239872915	0.125	0.580357143067
0.00226370135028	0.125	0.580219780018
0.00230341540905	0.125	0.578512396306
0.00234312946783	0.125	0.577777778289
0.00242255758539	0.125	0.571428571
0.00246227164416	0.125	0.568694463374
0.00250198570294	0.125	0.568067227401
0.00254169976172	0.125	0.566222221818
0.00258141382049	0.125	0.565848214547
0.00262112787927	0.125	0.564102563573
0.00266084193805	0.125	0.562499999924
0.00270055599682	0.125	0.561458333133
0.0027402700556	0.125	0.558270676568
0.00277998411438	0.131578947368	0.55714285705
0.00281969817315	0.131578947368	0.555555556
0.00285941223193	0.131578947368	0.553977272928
0.00289912629071	0.131578947368	0.55125
0.00289912629071	0.138157894737	0.550038197405
0.00293884034948	0.138157894737	0.545454545673
0.00297855440826	0.138157894737	0.54519230745
0.00297855440826	0.144736842105	0.5427631575
0.00301826846704	0.144736842105	0.542410714295
0.00313741064337	0.144736842105	0.541666666366
0.00317712470214	0.144736842105	0.540259740469
0.00321683876092	0.144736842105	0.538903061258
0.0032565528197	0.144736842105	0.537593985057
0.00329626687847	0.144736842105	0.537190082389
0.00333598093725	0.144736842105	0.536507936673
0.00337569499603	0.144736842105	0.534011442699
0.00341540905481	0.144736842105	0.533860603201
0.00345512311358	0.144736842105	0.533333333761
0.00349483717236	0.151315789474	0.530612244745
0.00353455123114	0.151315789474	0.530526315526
0.00357426528991	0.151315789474	0.529323308364
0.00361397934869	0.151315789474	0.525777778182
0.00365369340747	0.151315789474	0.524999999813
0.00369340746624	0.151315789474	0.52436974791
0.0037728355838	0.151315789474	0.523809523627
0.00381254964257	0.151315789474	0.520532099089
0.00397140587768	0.157894736842	0.52000000013
0.00397140587768	0.164473684211	0.519230769
0.00401111993646	0.164473684211	0.517346939183
0.00405083399523	0.164473684211	0.515873015508
0.00409054805401	0.164473684211	0.514747474569
0.00416997617156	0.164473684211	0.5142857142
0.00420969023034	0.164473684211	0.512121212126
0.00424940428912	0.164473684211	0.51195862985
0.00432883240667	0.164473684211	0.507692307419
0.00436854646545	0.164473684211	0.507668699622
0.00440826052423	0.164473684211	0.507000000195
0.00440826052423	0.171052631579	0.505555555569
0.004447974583	0.171052631579	0.502976190902
0.00448768864178	0.171052631579	0.502894736635
0.00456711675933	0.171052631579	0.499999999625
0.00460683081811	0.171052631579	0.498614958222
0.00464654487689	0.171052631579	0.49846153842
0.00468625893566	0.171052631579	0.494976982172
0.00472597299444	0.171052631579	0.494117647157
0.00476568705322	0.171052631579	0.491596638882
0.00476568705322	0.177631578947	0.491071428375
0.00484511517077	0.177631578947	0.488888888475
